wait_length,service_length,arrival_time_diff
0.9999999984091167,0.6875442852471303,0.9702582606762717
0.9738544236593324,0.5147782327794768,0.4822041492645257
1.0,0.1614044251207409,0.45556553673897826
0.663732009323531,0.11858725601972486,0.048332580667645626
0.7575602551926292,0.5372125270427005,0.4146669012508466
0.025932708706591076,0.6789148368258652,0.17330564654842767
0.9999999999578617,0.5536230829424417,0.5946230701839548
0.9923147126106361,0.43323280706703754,0.17167974693357124
0.5654515457564133,0.8320666343679596,0.8844947440933403
0.05428266626587234,0.06573736519483624,0.6559504341515601
0.8504488003700389,0.3466027303046978,0.04776357696339663
0.1726919698994734,0.5525356167223267,0.04729591574611792
